Iteration	Posterior	Likelihood	Prior	birth	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]
8800	-15392.6	-15293.6	-98.9335	0.0375251	0.194059	0.253431	0.0495623	0.0251165	0.466726	0.0111047	0.241974	0.260599	0.13992	0.357507
8900	-15387	-15288.1	-98.9359	0.0375251	0.190209	0.247405	0.0620579	0.0249965	0.465657	0.00967458	0.243955	0.262042	0.154457	0.339546
9000	-15388.9	-15289.9	-98.9313	0.0375251	0.19862	0.261114	0.0469409	0.0202407	0.460057	0.0130275	0.242987	0.260513	0.138414	0.358086
9100	-15394.7	-15295.8	-98.939	0.0375251	0.177214	0.27099	0.0510444	0.0179434	0.47232	0.0104881	0.242669	0.264968	0.142934	0.349429
9200	-15391.9	-15293	-98.9348	0.0375251	0.193499	0.24083	0.0515041	0.0213952	0.474092	0.0186796	0.242039	0.259464	0.152431	0.346066
9300	-15405	-15306.1	-98.9446	0.0375251	0.164474	0.289553	0.0575036	0.0173774	0.460821	0.0102703	0.250623	0.270697	0.127597	0.351084
9400	-15390.3	-15291.4	-98.9364	0.0375251	0.188649	0.258135	0.0541747	0.0201222	0.472518	0.00640065	0.248022	0.244797	0.151487	0.355694
9500	-15390.2	-15291.3	-98.9377	0.0375251	0.187734	0.25316	0.057562	0.0243565	0.468327	0.00886035	0.235127	0.266257	0.154561	0.344055
9600	-15386.1	-15287.1	-98.9334	0.0375251	0.190076	0.256793	0.0584847	0.0219545	0.45992	0.0127718	0.247312	0.262889	0.1453	0.344499
9700	-15402.2	-15303.2	-98.9365	0.0375251	0.180371	0.288443	0.0421938	0.0158692	0.467118	0.00600586	0.23747	0.269457	0.139719	0.353354
9800	-15394	-15295.1	-98.9378	0.0375251	0.171373	0.24894	0.0575547	0.0195856	0.489157	0.0133887	0.260645	0.258331	0.142036	0.338988
9900	-15393	-15294.1	-98.9389	0.0375251	0.170083	0.251489	0.0595356	0.0199234	0.484723	0.014246	0.249228	0.268782	0.151487	0.330504
10000	-15387.2	-15288.2	-98.9374	0.0375251	0.171623	0.272356	0.0504275	0.0229215	0.471491	0.0111813	0.244872	0.259455	0.152364	0.343309
